Time(s),Voltage(V)
0.00876,0.5031249999999999
0.008780000000000001,0.509375
0.0088,0.5023437500000001
0.008820000000000001,0.509375
0.00884,0.5085937500000001
0.008860000000000002,0.503125
0.00888,0.49921874999999993
0.0089,0.5125
0.00892,0.50703125
0.00894,0.50625
0.008960000000000001,0.50234375
0.00898,0.509375
0.009000000000000001,0.51796875
0.00902,-0.52734375
0.009040000000000001,-0.50234375
0.00906,-0.51640625
0.009080000000000001,-0.509375
0.0091,-0.509375
0.009120000000000001,-0.5140625
0.00914,-0.5046875
0.009160000000000001,-0.5187499999999999
0.00918,-0.5
0.009200000000000002,-0.5187499999999999
0.00922,-0.5
0.00924,-0.5187499999999999
0.009260000000000001,-0.5
0.00928,-0.51640625
0.009300000000000001,-0.50234375
0.00932,-0.5187499999999999
0.009340000000000001,-0.5
0.00936,-0.5187499999999999
0.009380000000000001,-0.5
0.0094,-0.5187499999999999
0.009420000000000001,-0.5
0.00944,-0.5187499999999999
0.009460000000000001,-0.5
0.00948,-0.5187499999999999
0.009500000000000001,-0.5
0.00952,-0.5187499999999999
0.009540000000000002,-0.5
0.00956,-0.5187499999999999
0.00958,-0.5
0.009600000000000001,-0.5187499999999999
0.00962,-0.5
0.009640000000000001,-0.5187499999999999
0.00966,-0.5
0.009680000000000001,-0.51640625
0.0097,-0.50234375
0.009720000000000001,-0.51640625
0.00974,-0.50234375
0.009760000000000001,-0.5187499999999999
0.00978,-0.5
0.009800000000000001,-0.51640625
0.00982,-0.50234375
0.009840000000000002,-0.51640625
0.00986,-0.50234375
0.009880000000000002,-0.5093749999999999
0.0099,-0.509375
0.00992,-0.5140625
0.009940000000000001,-0.5046875
0.00996,-0.5140625
0.009980000000000001,-0.5046875
0.01,-0.5125
0.010020000000000001,-0.5070312499999999
0.01004,-0.5140625
0.010060000000000001,-0.5054687499999999
0.01008,-0.5140625
0.010100000000000001,-0.5054687499999999
0.01012,-0.51171875
0.010140000000000001,-0.50859375
0.01016,-0.51640625
0.010180000000000002,-0.50234375
0.0102,-0.5148437499999999
0.010220000000000002,-0.5046875
0.01024,-0.515625
0.01026,-0.50625
0.010280000000000001,-0.51171875
0.0103,-0.509375
0.010320000000000001,-0.5125
0.01034,-0.5085937500000001
0.010360000000000001,-0.5125
0.01038,-0.51015625
0.010400000000000001,-0.5078125
0.01042,-0.5140625
0.010440000000000001,-0.51171875
0.01046,-0.5125
0.010480000000000001,-0.50859375
0.0105,-0.51796875
0.010520000000000002,-0.5109374999999999
0.01054,-0.51484375
0.010560000000000002,-0.5078125
0.01058,-0.51796875
0.0106,-0.50625
0.010620000000000001,-0.521875
0.01064,-0.5085937500000001
0.010660000000000001,-0.5203125
